,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
603506.SH,南都物业服务集团股份有限公司,南都物业,南都物业服务股份有限公司,物业管理相关服务。,　　许可项目：高危险性体育运动（游泳）；城市生活垃圾经营性服务；建设工程施工；建设工程设计；住宅室内装饰装修；特种设备安装改造修理；第二类增值电信业务；城市建筑垃圾处置（清运）；餐饮服务；供暖服务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：物业管理；酒店管理；城乡市容管理；市政设施管理；城市绿化管理；餐饮管理；商业综合体管理服务；园区管理服务；体育场地设施经营（不含高危险性体育运动）；专业保洁、清洗、消毒服务；停车场服务；家政服务；航空运营支持服务；航空商务服务；房地产咨询；住房租赁；信息咨询服务（不含许可类信息咨询服务）；会议及展览服务；礼仪服务；包装服务；建筑物清洁服务；园林绿化工程施工；住宅水电安装维护服务；家具安装和维修服务；家用电器安装服务；日用电器修理；水利相关咨询服务；信息系统集成服务；信息系统运行维护服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安防设备销售；文具用品零售；家具销售；农副产品销售；服装服饰零售；厨具卫具及日用杂品零售；劳动保护用品销售；专用设备修理；通用设备修理；工程管理服务；物联网应用服务；电子、机械设备维护（不含特种设备）；健身休闲活动；物业服务评估；水污染治理；居民日常生活服务；单位后勤管理服务；集贸市场管理服务；代驾服务；票务代理服务；病人陪护服务；护理机构服务（不含医疗服务）；市场营销策划；专业设计服务；食品销售（仅销售预包装食品）；互联网销售（除销售需要许可的商品）；灯具销售；汽车装饰用品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,"南都物业服务集团股份有限公司一直从事物业管理相关服务。公司提供的主要服务分为物业管理服务、城市服务、案场服务、顾问咨询服务。公司为中国物业管理协会名誉副会长单位，多次入围协会评选的全国物业服务企业综合实力前三十强，获评“商业模式创新企业”等荣誉。近两年公司凭借较强的品牌影响力及品牌溢价再次荣获中国指数研究院,中物研协等组织评选的“中国物业服务百强企业”综合排名第13位,“2021物业服务企业上市公司20强”,“2021中国物业上市公司领先企业-投资价值领先”,“2021中国物业服务品牌特色企业”,“2020物业服务企业上市公司十强经营绩效领先企业”,“2020蓝筹物业百强企业”。",韩芳,韩芳 (57.15%),浙江省杭州市西湖区紫荆花路2号联合大厦A幢1单元10楼
603507.SH,江苏振江新能源装备股份有限公司,振江股份,,风电设备、光伏/光热设备零部件；紧固件的设计、加工与销售；海上风电安装及运维服务。,"　　钢结构件、通用设备的制造、加工、销售;钣金加工;自营和代理各类商品及技术的进出口业务,但国家限定企业经营或禁止进出口的商品和技术除外。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",江苏振江新能源装备股份有限公司主营业务为风电设备、光伏/光热设备零部件；紧固件的设计、加工与销售；海上风电安装及运维服务。公司主要产品包括机舱罩、转子房、定子段、塔筒等风电设备产品，固定/可调式光伏支架、追踪式光伏支架等光伏设备产品以及光热设备产品；紧固件主要为汽车、风电光伏、铁路、工程机械、电子等行业提供具有防松性能的高品质紧固件。公司目前已通过ISO9001：2015质量管理体系、ISO14001：2015环境管理体系和ISO45001：2018职业健康安全管理体系认证、并通过欧盟焊接质量管理体系 EN1090和国际焊接质量管理体系ISO3834的认证。截至2021年6月30日，公司拥有有效专利授权203项。并在产品焊接并行控制、机加工精度控制、表面处理质量控制等方面形成核心技术优势。,胡震,胡震 (22.55%)，卜春华 (0.78%),江苏省无锡市江阴市镇澄路2608号
603508.SH,河南思维自动化设备股份有限公司,思维列控,,列车运行控制、铁路安全防护、高速铁路运行监测与信息管理三大业务。,　　研发、生产、销售：轨道交通设备、电子产品、工业微机化设备、工业自动化控制设备、工业控制机模块、嵌入式软件、计算机软件；销售：软件系统、微机、电子仪器、电子元器件；电子产品、电子技术、自动化控制技术、计算机相关技术开发、咨询、服务、转让；软件开发；软件技术转让；软件技术咨询及服务；信息系统集成服务；从事货物和技术进出口业务；房屋租赁；会议及展览展示服务。,河南思维自动化设备股份有限公司的主营业务涉及普速铁路和高速铁路两大领域，主要包括列车运行控制、铁路安全防护、高速铁路运行监测与信息管理三大业务。主要产品包括LKJ列控系统、其他列控系统、机车车载安全防护系统(6A)、列控设备动态监测系统(DMS系统)等。,李欣,郭洁 (20.39%)，王卫平 (14.27%)，李欣 (11.06%),河南省郑州市中原区高新区杜兰街63号
603511.SH,爱慕股份有限公司,爱慕股份,北京爱慕内衣有限公司,贴身服饰及其用品的研发、生产与销售。,　　销售内衣、服装、服饰、珠宝首饰、工艺品、日用百货、针纺织品、工艺美术品、化妆品、第Ⅱ类医疗器械、玩具、电子产品、鞋帽、皮革制品（不含野生动物皮张）；组织展览展示活动；对自有房产的物业管理（含出租写字间）；经营本企业和成员企业自产产品及技术出口业务；本企业和成员企业生产所需的原辅材料、机械设备、仪器仪表、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和三来一补业务；劳务派遣；经济贸易咨询；技术开发、技术推广、技术服务、技术转让、技术咨询；组织文化艺术交流活动（不含演出）；生产非医用口罩（仅限疫情期间生活保障）；加工内衣；美容（限分支机构经营）；销售食品；生产Ⅱ类、Ⅲ类医疗器械；自制饮品制售，限普通饮品；预包装食品销售，含冷藏冷冻食品（限219号楼一层大堂西侧部分）（餐饮服务许可证有效期至2023年02月05日）；自制饮品制售，限普通饮品；预包装食品销售，含冷藏冷冻食品（限219号楼二层东南角）（餐饮服务许可证有效期至2025年05月21日）；销售第Ⅲ类医疗器械；出版物零售。（市场主体依法自主选择经营项目，开展经营活动；生产Ⅱ类、Ⅲ类医疗器械、销售第Ⅲ类医疗器械、销售食品、出版物零售以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,爱慕股份有限公司主营业务为专业从事贴身服饰及其用品的研发、生产与销售。公司的主要产品包括文胸、内裤、保暖衣、家居服及其他服饰。2021年上半年，公司被中国纺织工业联合会评为“2021中国纺织服装品牌竞争力优势企业”。,张荣明,张荣明 (62.38%),北京市朝阳区望京开发区利泽中园二区218、219号楼
603515.SH,欧普照明股份有限公司,欧普照明,,家居照明灯具、商用照明灯具、光源及控制类产品的研发、生产和销售。,　　许可项目：电气安装服务；建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：货物进出口；技术进出口；照明器具制造；机械电气设备制造；机械电气设备销售；照明器具销售；建筑装饰材料销售；卫生洁具销售；家具销售；智能家庭消费设备销售；消防器材销售；电子产品销售；家用电器销售；气体、液体分离及纯净设备销售；泵及真空设备销售；日用百货销售；五金产品零售；家用电器安装服务；专业设计服务；工业设计服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；认证咨询；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；非居住房地产租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"欧普照明股份有限公司是主营业务为照明光源、灯具、控制类产品的研发、生产和销售。公司主要产品为家居照明灯具、光源、商业照明灯具、照明控制。
　　欧普照明是中国知名的照明企业之一，先后荣获“中国名牌产品”、“中国驰名商标”众多荣誉称号。
　　2019年公司成为“2019年北京世园会植物馆战略合作伙伴”及“2020年迪拜世博会中国馆官方合作伙伴及指定照明解决方案提供商”，并被授予“2019年度中国灯饰照明行业领袖品牌”，全面彰显公司在行业的品牌影响力。",王耀海,王耀海 (40.56%)，马秀慧 (39.04%),上海市闵行区吴中路1799号万象城V2栋
603516.SH,北京淳中科技股份有限公司,淳中科技,北京淳中视讯科技有限公司,专业音视频显控设备的设计、研发、生产和销售。,　　技术开发、技术推广、技术转让、技术咨询、技术服务；生产计算机、软件及辅助设备、通信设备、音响设备、便携式音视频播放机、智能车载设备、电子设备、游艺用品及室内游艺器材；销售计算机、软件及辅助设备、通信设备、音响设备、便携式音视频播放机、电子设备、影视录放设备、应用电视设备及其他广播电视设备；集成电路设计；产品设计；智能控制系统集成；运行维护服务；影视录放设备制造；应用电视设备及其他广播电视设备制造；货物进出口、技术进出口、进出口代理；电气安装服务；各类工程建设活动；建筑智能化工程施工。(市场主体依法自主选择经营项目，开展经营活动；建筑智能化工程施工、电气安装服务、各类工程建设活动以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),"北京淳中科技股份有限公司主营业务是提供专业音视频(ProAudio&Visual)控制设备及解决方案。公司显示控制产品主要包括拼接处理类产品、坐席协作类产品、矩阵切换类产品、边缘融合类产品、中央控制类产品、音频会议类产品、信号传输类产品、接口配件类产品以及管理平台类产品等。
　　发行人持有由中国质量认证中心颁发的15个国家强制性产品认证证书；2015年9月公司获得《对外贸易经营者备案登记表》。",何仕达,何仕达 (26.92%),北京市海淀区林风二路39号院1号楼5层
603517.SH,绝味食品股份有限公司,绝味食品,,休闲卤制食品的研发、生产和销售。,　　食品、农副产品的生产、加工、销售、技术开发、技术服务；仓储服务；商品配送；（以上限分支机构凭许可证经营）；企业管理咨询；自营和代理各类商品和技术的进出口，但国家限定公司经营和禁止进出口商品技术除外；实业投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"绝味食品股份有限公司主营业务为休闲卤制食品的开发、生产和销售。公司休闲卤制食品主要分为两类：一类是以鸭、鸡、猪等禽畜为原料的休闲卤制肉制品；另一类是以毛豆、萝卜、花生等为原料的休闲卤制素食品。公司及公司产品获得的主要荣誉有:“中国驰名商标”(国家工商总局商标局认定);“中国特许经营连锁120强”(中国连锁经营协会颁发);“全国食品工业优秀龙头食品企业”(中国食品工业协会颁发)。休闲卤制食品行业已经步入品牌竞争时代,具有品牌优势的大企业将在行业的整合之中胜出。",戴文军,戴文军 (26.27%),湖南省长沙市芙蓉区晚报大道267号晚报大厦1608室
603518.SH,锦泓时装集团股份有限公司,锦泓集团,维格娜丝时装股份有限公司,中高档服装的设计研发、生产制造、品牌营销及终端销售。,　　许可项目：代理记账；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：服饰研发；服装制造；服饰制造；服装辅料制造；箱包制造；皮革制品制造；珠宝首饰制造；服装服饰批发；鞋帽批发；珠宝首饰批发；服装服饰零售；服装辅料销售；箱包销售；鞋帽零售；皮革制品销售；皮革销售；珠宝首饰零售；针纺织品及原料销售；专业设计服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；企业管理咨询；信息技术咨询服务；财务咨询；税务服务；市场营销策划；物业管理；货物进出口；技术进出口；进出口代理；互联网销售（除销售需要许可的商品）；单用途商业预付卡代理销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,锦泓时装集团股份有限公司的主要业务为中高档服装的设计研发、生产制造、品牌营销及终端销售。公司的主要产品是中高端服饰、高级定制和场合服饰、高端工艺品和国潮文创礼品。,王致勤,王致勤 (18.05%)，宋艳俊 (15.21%),江苏省南京市建邺区茶亭东街240号
603519.SH,江苏立霸实业股份有限公司,立霸股份,,为国内外知名家电整机企业提供家电外观用复合材料。,　　许可项目：国内货物运输代理；道路货物运输（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：金属材料销售；金属表面处理及热处理加工；新型金属功能材料销售；建筑材料销售；木材销售；金属结构制造；金属结构销售；有色金属合金制造；塑料制品制造；塑料制品销售；家用电器制造；家用电器零配件销售；以自有资金从事投资活动；进出口代理；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏立霸实业股份有限公司主要为国内外知名家电整机企业提供家电外观用复合材料，具备较强的技术研发、新品推广和客户服务优势，是国内知名的家电用复合材料主要生产厂商之一。公司主导产品分为覆膜板（VCM）和有机涂层板（PCM）两大类。,宋剑锐,卢凤仙 (25.92%),江苏省无锡市宜兴市环保科技工业园画溪路88号
603520.SH,浙江司太立制药股份有限公司,司太立,,"特色原料药(包括中间体)研发,生产和销售。",　　医药中间体制造，销售；经营本企业自产产品的出口业务和本企业所需的机械设备，零配件，原辅材料的进口业务，但国家限定公司经营或禁止进出口的商品及技术除外。原料药(碘海醇，碘克沙醇，碘帕醇，碘佛醇，盐酸左氧氟沙星，左氧氟沙星，甲磺酸帕珠沙星)制造(详见《药品生产许可证》)；(依法须经批准的项目，经相关部门批准后方可开展经营活动),浙江司太立制药股份有限公司主营业务是特色原料药(包括中间体)及产品药研发，生产和销售。公司主要产品有X-CT非离子型造影剂碘海醇、碘佛醇、碘帕醇、碘克沙醇、碘普罗胺、碘美普尔等系列原料药及中间体；核磁共振造影剂钆贝葡胺、钆喷酸葡胺、钆特酸葡胺等原料药及中间体；氟喹喏酮类左氧氟沙星和甲磺酸帕珠沙星等系列原料药。是国内规模最大、品种最全的非离子型碘造影剂产品生产企业。,胡健,胡健 (18.70%)，胡锦生 (18.53%),浙江省台州市仙居县现代工业集聚区丰溪西路9号
